"Pos","Player","Team","Opp","Salary","Proj","Value"
"QB","Patrick Mahomes","KC","@ARI",7700,24.6,3.2
"QB","Lamar Jackson","BAL","@NYJ",7300,24.07,3.3
"QB","Jalen Hurts","PHI","@DET",6800,23.36,3.4
"RB","Christian McCaffrey","CAR","CLE",8500,23.08,2.7
"QB","Kyler Murray","ARI","KC",7200,22.92,3.2
"QB","Justin Herbert","LAC","LV",7600,22.67,3
"RB","Jonathan Taylor","IND","@HOU",9100,22.46,2.5
"RB","Derrick Henry","TEN","NYG",8600,22.06,2.6
"QB","Joe Burrow","CIN","PIT",6400,20.59,3.2
"QB","Aaron Rodgers","GB","@MIN",7000,20.32,2.9
"QB","Trey Lance","SF","@CHI",6000,20.21,3.4
"WR","Justin Jefferson","MIN","GB",7800,20.07,2.6
"WR","Davante Adams","LV","@LAC",8100,19.52,2.4
"QB","Derek Carr","LV","@LAC",5900,19.39,3.3
"RB","Austin Ekeler","LAC","LV",8200,19.06,2.3
"TE","Travis Kelce","KC","@ARI",6600,18.91,2.9
"QB","Kirk Cousins","MIN","GB",6100,18.73,3.1
"RB","Alvin Kamara","NO","@ATL",7600,18.53,2.4
"WR","Ja'Marr Chase","CIN","PIT",7100,18.49,2.6
"QB","Ryan Tannehill","TEN","NYG",5700,18.29,3.2
"QB","Matt Ryan","IND","@HOU",5500,18.24,3.3
"RB","Dalvin Cook","MIN","GB",7900,18.23,2.3
"QB","Tua Tagovailoa","MIA","NE",5700,18.08,3.2
"RB","Joe Mixon","CIN","PIT",7100,17.73,2.5
"QB","Trevor Lawrence","JAX","@WAS",5600,17.56,3.1
"QB","Carson Wentz","WAS","JAX",5500,17.41,3.2
"WR","Tyreek Hill","MIA","NE",6800,17.28,2.5
"RB","Najee Harris","PIT","@CIN",6400,16.95,2.6
"QB","Jameis Winston","NO","@ATL",5300,16.94,3.2
"QB","Justin Fields","CHI","SF",5600,16.92,3
"WR","Deebo Samuel","SF","@CHI",7400,16.77,2.3
"RB","Saquon Barkley","NYG","@TEN",6100,16.74,2.7
"RB","Aaron Jones","GB","@MIN",6700,16.7,2.5
"QB","Mitch Trubisky","PIT","@CIN",5000,16.7,3.3
"QB","Daniel Jones","NYG","@TEN",5000,16.58,3.3
"QB","Marcus Mariota","ATL","NO",5200,16.47,3.2
"RB","D'Andre Swift","DET","PHI",6800,16.38,2.4
"QB","Jared Goff","DET","PHI",5400,16.37,3
"WR","Keenan Allen","LAC","LV",7000,16.34,2.3
"TE","Mark Andrews","BAL","@NYJ",6800,16.19,2.4
"WR","A.J. Brown","PHI","@DET",6400,16.18,2.5
"QB","Davis Mills","HOU","IND",5300,16.11,3
"QB","Joe Flacco","NYJ","BAL",4800,16.11,3.4
"QB","Baker Mayfield","CAR","CLE",5300,15.93,3
"WR","Tee Higgins","CIN","PIT",6100,15.74,2.6
"QB","Mac Jones","NE","@MIA",5400,15.74,2.9
"WR","Marquise Brown","ARI","KC",6200,15.53,2.5
"WR","Michael Pittman","IND","@HOU",5500,15.49,2.8
